id_calle,orden_carga,nombre_calle,observacion_calle
468,467,"Weber , Jose",Acceso Sur
469,468,"Montellano , Fernando",30 de Octubre
470,469,"Rosello , Luis Ricardo",30 de Octubre
471,470,"Pedraza , Jose Tomas",30 de Octubre - Mario Abel Amaya
472,471,"Coliboro , Ramon Angel",Mario Abel Amaya
473,472,Calle 0472,Mario Abel Amaya - Entre Mza. 127 Y 128
474,473,Calle 0473,Mario Abel Amaya - Entre Mza. 128 Y 129
475,474,"Ragni , Nicolas Ramon Don",Mario Abel Amaya
476,475,Calle 0475,Mario Abel Amaya - Entre Mza. 130 Y 131
477,476,Calle 0476,Mario Abel Amaya - Entre Mza. 131 Y 132
478,477,"Campillay , Fernando",Mario Abel Amaya
479,478,Calle 0478,Mario Abel Amaya - Lado Este Mza. 141
480,479,Calle 0479,Mario Abel Amaya - Lado Oeste Mza. 141
481,480,Calle 0480,Mario Abel Amaya - Lado Este Mza. 137
482,481,Calle 0481,Mario Abel Amaya - Entre Mza. 136 Y 137
483,482,Reverendo Padre Juan Corti,"Mario Abel Amaya - Cordon Forestal ""Juan M. Feeney"""
484,483,"Busnadiego , Santiago",Mario Abel Amaya
485,484,"Mercorelli , Juan",Mario Abel Amaya
486,485,"Alassia , Luis",Mario Abel Amaya
487,486,"Marchetti , Lorenzo",Mario Abel Amaya
488,487,"Moiron , Pilar De",Mario Abel Amaya
489,488,"Rodriguez , Blas Jose",Mario Abel Amaya
490,489,"Reyes , Jorge",Mario Abel Amaya
491,490,"Ostoich , Antonio",Mario Abel Amaya
492,491,"Morgan , Iris",Mario Abel Amaya
493,492,"Andrade , Wilfredo",Monseñor Argimiro Daniel Moure - San Cayetano
494,493,"Arigoni , Adolfo",Monseñor Argimiro Daniel Moure - San Cayetano
495,494,Calle 0494,San Cayetano - Entre Mza. 31 Y 32
496,495,Calle 0495,San Cayetano - Entre Mza. 32 Y 33
497,496,Diario La Republica,San Cayetano
498,497,"Torrijos , Ruben A.",Jorge Newbery
499,498,Calle 0498,Jorge Newbery - Mza. 121-A Y 121-B
500,499,"Savio , Domingo",Jorge Newbery
501,500,"Costa , Gobernador",Jorge Newbery
502,501,Puerto Piramide,Jorge Newbery
503,502,"Antognoli , Felix",Pietrobelli
504,503,"Azzi , Alberto Omar",Pietrobelli
505,504,"Rolinho , Alberto Ricardo",San Cayetano
506,505,Calle 0505,San Cayetano - Entre Mza. 42 Y 43
507,506,Calle 0506,San Cayetano - Entre Mza. 41 Y 42
508,507,Calle 0507,San Cayetano - Lado Sur Mza. 41
509,508,Calle 0508,San Cayetano - Lado Oeste Mzas. 28 Y 36
510,509,Calle 0509,San Cayetano - Entre Mza. 901 Y 902
511,510,Calle 0510,Doctor Quirno Costa - Oeste Mza. 922 Y 923
512,511,Reverendo Padre Luis Dabroswki,Doctor Quirno Costa
513,512,Reverendo Padre Luis Cencio,Doctor Quirno Costa
514,513,Monseñor Carlos Mariano Perez,Doctor Quirno Costa
515,514,Calle 0514,Doctor Quirno Costa - Este Mza. 924
516,515,Reverendo Padre Mario Luis Mignone,Doctor Quirno Costa
517,516,Calle 0516,Stella Maris - Mza. 913 Y 914
518,517,Calle 0517,Stella Maris - Mza. 915 Y 917
519,518,Calle 0518,Stella Maris - Mza. 914 Y 915
